"Respondent ID","Survey Year","age","Gender","Race / ethnicity","education","Marital Status","region","employment status","hours_worked","Household Income","Self Rated Health","smoking_status","Physical Activity Days","survey weight","Interview Mode"
20063,2025,999,"Male","Multiracial","High school","Married","Midwest","Not in labor force","11","141000","Fair","Current","2","2.49","In person"
20064,2025,18,"Female","White","High school","Living with partner","West","Employed part time","-8","166000","DK","Current","6","2.09","Web"
20065,2025,51,"Male","Multiracial","Some college","Married","South","Retired","50","154000","Very good","Never","3","1.21","Phone"
20066,2025,38,"-9","Latina/o/x","Less than HS","Living with partner","Midwest","Not in labor force","54","$ 47,000","Very good","Never","6","2.45","web"
20067,2025,45,"female","Asian","BA","Married","West","Employed full time","0","174000","Excellent","Former","4","1.26","Phone"
20068,2025,70,"-9","White","Less than HS","Never married","South","Retired","59","148000","Fair","Never","7","0.83","Web"
20069,2025,79,"Male","White","Some college","Living with partner","South","Employed full time","38","$122,000","Very good","Never","-9","0.65","In person"
20070,2025,24,"MALE","White","High school","Never married","South","Employed full time","51","150000","Excellent","Former","6","1.65","Web"
20071,2025,57,"MALE","-9","Some college","Married","West","Employed part time","12","145000","Good","Never","3","1.29","web"
20072,2025,46,"Male","Latina/o/x","BA","Living with partner","Midwest","Employed full time","26","104000","Very good","Former","4","2.28","Phone"
20073,2025,59,"Female","White","BA","Never married","West","Employed part time","45","162000","Excellent","Never","1","0.38","Phone"
20074,2025,53,"Female","White","Some college","Never married","South","Student","16","87000","Fair","Never","7","2.55","Web"
20075,2025,55,"Nonbinary","White","High school","Never married","South","Employed full time","43","999999","Good","Never","-9","2.44","Phone"
20076,2025,999,"Female","Black","ba","Married","West","Employed full time","33","","Fair","Never","eight","1.86","Phone"
20077,2025,88,"Male","White","Some college","Never married","Midwest","Employed full time","31","96000","Very good","Former","3","1.59","web"
20078,2025,-9,"Female","Latina/o/x","Graduate","Married","Northeast","Employed full time","12","87000","Excellent","Never","6","1.40","Web"
20079,2025,77,"-9","White","Some college","Living with partner","South","-9","19","$143,000","Excellent","Never","3","1.23","Web"
20080,2025,41,"Male","Asian","High school","Never married","South","Student","35","57000","Good","Never","1","2.66","Phone"
20081,2025,65,"Female","Multiracial","Some college","Divorced","South","Retired","45","55000","Fair","Former","2","2.74","Phone"
20082,2025,52,"","white","Some college","Never married","Mountain West","Employed full time","56","$141,000","Fair","Current","Not asked","1,25","Phone"
20083,2025,23,"Female","White","High school","Separated","West","Employed part time","23","$135,000","Very good","Occasional","4","-9","Web"
20084,2025,44,"Male","White","High school","Married","West","Not in labor force","3","142000","Fair","Current","4","0.83","Web"
20085,2025,87,"Female","Latina/o/x","Graduate","Never married","South","Employed full time","7","134000","Good","Never","3","1.74","Phone"
20086,2025,50,"Nonbinary","White","Some college","Never married","Northeast","Student","58","95000","Very good","Never","eight","0.82","Web"
20087,2025,46,"FEMALE","Multiracial","BA","Widowed","Northeast","Unemployed","20","$ 88,000","DK","Never","2","0.61","PHONE"
20088,2025,52,"Female","White","BA","married","Northeast","Unemployed","21","133000","Good","Former","3","1.87","Web"
20089,2025,999,"Male","Black","Some college","Never married","South","Employed full time","55","$121,000","Good","Never","4","2.26","web"
20090,2025,33,"Male","Black","Some college","Living with partner","Mountain West","Not in labor force","29","$ 72,000","Fair","Current","eight","1.60","In person"
20091,2025,81,"Female","White","Some college","Never married","South","Student","N/A","74000","Fair","Former","1","2.57","Phone"
20092,2025,83,"Female","Asian","Some college","Never married","Northeast","-9","24","149000","Fair","Former","6","2.32","Phone"
20093,2025,35,"Male","Asian","Some college","Never married","Midwest","Employed part time","37","34000","Very good","Former","7","1.04","Web"
20094,2025,51,"Female","Other","Some college","Married","Midwest","Retired","41","165000","Very good","Former","3","0.51","In person"
20095,2025,65,"Male","white","High school","married","Midwest","Employed full time","6","73000","Very good","Former","0","1.46","Mail"
20096,2025,24,"FEMALE","Black","Some college","Married","Midwest","Employed part time","22","$170,000","Good","Never","5","1.60","Mail"
20097,2025,52,"Female","-9","High school","Never married","Northeast","Employed full time","56","$166,000","Very good","Never","6","1.61","Web"
20098,2025,74,"Male","White","ba","married","Midwest","Student","52","138000","Good","Never","2","0.86","Web"
20099,2025,70,"Female","Multiracial","High school","Never married","South","Employed full time","55","999999","Very good","Never","4","1.31","Web"
20100,2025,34,"Male","White","BA","Married","South","Student","22","$ 62,000","Good","-9","eight","2.12","In person"
20101,2025,89,"Male","Multiracial","Some college","Divorced","Mountain West","Employed full time","11","$ 99,000","Very good","Never","1","0.63","web"
20102,2025,88,"Male","Latina/o/x","High school","","Midwest","employed full time","9","$114,000","Very good","Occasional","2","0.93","Web"
20103,2025,35,"Male","White","BA","Married","Midwest","Retired","14","137000","Very good","Former","-9","1.91","Phone"
20104,2025,66,"Male","White","High school","Never married","South","Student","50","-8","-9","Never","4","1.68","Phone"
20105,2025,65,"Male","-9","Some college","Divorced","Midwest","Employed full time","9","87000","Very good","Current","Not asked","0.71","In person"
20106,2025,42,"male","Latina/o/x","Graduate","Never married","Midwest","Not in labor force","1","136000","Excellent","Occasional","7","0.77","In person"
20107,2025,54,"Nonbinary","White","Less than HS","Never married","West","Retired","43","85000","Very good","Current","Not asked","0.61","Web"
20108,2025,71,"Female","Other","BA","Married","Northeast","Not in labor force","59","50000","Poor","Never","5","2.50","Mail"
20109,2025,56,"Female","Black","Graduate","Divorced"," SOUTH ","Employed full time","1","$ 35,000","Very good","Former","3","2.23","-8"
20110,2025,76,"female","Asian","Some college","Married","Midwest","Employed full time","33","Not asked","Very good","Occasional","-9","1.77","Web"
20111,2025,58,"Male","Asian","Some college","Living with partner","Northeast","Employed part time","29","38000","Very good","Never","-9","1.67","Web"
20112,2025,56,"Female","White","Graduate","Married","Northeast","Student","12","154000","Poor","Current","0","2.31","Phone"
20113,2025,30,"Female","Latina/o/x","BA","Living with partner","Midwest","Employed full time","48","102000","Very good","Never","1","1.68","web"
20114,2025,28,"Male","Multiracial","BA","married","West","Not in labor force","33","20000","Good","Never","5","2.45","In person"
20115,2025,46,"Female","Asian","Some college","Divorced","Midwest","Student","45","175000","Very good","Never","2","0.45","Web"
20116,2025,38,"Female","Black","Some college","Married","South","Employed full time","50","173000","Good","Never","7","1.47","In person"
20117,2025,73,"Male","Black","Some college","-9","West","Employed full time","10","61000","Poor","Never","eight","0.71","Phone"
20118,2025,32,"Male","Latina/o/x","BA","Married","Midwest","employed full time","34","141000","Fair","Former","1","1.54","Web"
20119,2025,30,"female","white","Some college","Divorced","South","Employed part time","-9","91000","Excellent","Former","6","1.04","Web"
20120,2025,79,"Female","White","BA","Never married","West","Employed full time","58","75000","Good","Current","3","2.35","Web"
20121,2025,32,"Male","White","High school","Never married","West","Employed full time","40","69000","Excellent","Never","5","","Phone"
20122,2025,89,"male","white","Some college","Never married","Midwest","Student","53","$ 39,000","Excellent","Never","5","2.27","In person"
20123,2025,58,"Female","Black","Less than HS","Never married","Northeast","Employed full time","45","999999","Very good","Occasional","4","2.44","Mail"
20124,2025,37,"Female","Latina/o/x","Graduate","Widowed","South","Employed part time","N/A","$181,000","Fair","Never","7","0.71","PHONE"
20125,2025,37,"Female","Other","BA","Married","West","Student","7","Not asked","Good","Current","eight","1.26","web"
20126,2025,71,"Male","BLACK","Graduate","married"," SOUTH ","Employed full time","10","75000","excellent","Occasional","7","1.56","Phone"
20127,2025,51,"male","Black","BA","Never married","West","Employed full time","7","999999","Very good","Never","2","2.59","Web"
20128,2025,79,"MALE","Other","High school","Married","-9","Retired","52","Not asked","Very good","Current","3","1.63","In person"
20129,2025,63,"Male","White","ba","Married","West","Student","47","49000","Very good","Never","4","2.62","Phone"
20130,2025,68,"female","Asian","ba","Married","Mountain West","Retired","44","22000","Good","Current","0","0.91","Web"
20131,2025,42,"Female","White","High school","Married","West","Student","57","114000","Excellent","Current","2","1.63","Web"
20132,2025,63,"Male","White","High school","Married","West","Employed part time","58","999999","Fair","Never","0","2.75","Web"
20133,2025,68,"Male","white","BA","Married","Midwest","Employed part time","54","73000","Very good","Current","1","2.17","Web"
20134,2025,22,"male","Other","Some college","Divorced","South","Employed full time","24","134000","Fair","current","2","0.60","Web"
20135,2025,88,"Male","Latina/o/x","Some college","Divorced","Midwest","Not in labor force","20","$ 33,000","Good","Never","eight","0.39","In person"
20136,2025,59,"Female","White","Graduate","Never married","-9","Employed full time","50","132000","Good","Never","4","0.88","Web"
20137,2025,57,"Male","Latina/o/x","Graduate","Married","South","Employed full time","0","$ 99,000","Fair","Former","0","1.74","In person"
20138,2025,55,"Female","White","Some college","Married","Mountain West","Employed full time","48","151000","Very good","Never","-9","2.08","PHONE"
20139,2025,19,"Male","Asian","Some college","Married","South","Unemployed","-9","60000","Good","Never","1","2.03","Mail"
20140,2025,84,"Female","Black","High school","Married","Northeast","Employed part time","57","$ 38,000","Very good","Former","5","2.33","Phone"
20141,2025,67,"Female","Black","-8","Married","South","employed full time","47","131000","Very good","Never","eight","1.59","-8"
20142,2025,48,"Female","Asian","GRADUATE","Married","South","Employed full time","33","86000","Very good","Never","7","1.06","Web"
20143,2025,67,"Male","Black","High school","Divorced","West","Employed full time","41","$ 93,000","Fair","Current","6","0.35","Phone"
20144,2025,25,"Female","Latina/o/x","Graduate","Living with partner","-9","Student","5","64000","Very good","Former","Not asked","1.59","Web"
20145,2025,29,"female","Multiracial","Some college","Never married","Midwest","Retired","40","65000","Excellent","-9","eight","1.27","Phone"
20146,2025,32,"Male","White","-8","Married","South","Student","8","","Very good","Never","eight","0.95","Phone"
20147,2025,55,"Female","Latina/o/x","BA","Never married","West","Employed full time","10","34000","Excellent","Occasional","Not asked","2.46","Web"
20148,2025,77,"Female","Other","BA","Never married","Northeast","-8","43","Not asked","Very good","Never","7","-9","Phone"
20149,2025,18,"Nonbinary","Latina/o/x","Graduate","Married","Mountain West","Unemployed","5","80000","Good","Former","7","1.47","Mail"
20150,2025,88,"Male","Multiracial","ba","Never married","South","Employed full time","39","127000","Excellent","Former","3","1.54","Web"
20151,2025,63,"Female","Black","Some college","Never married","South","Not in labor force","27","51000","Good","Never","1","","Phone"
20152,2025,24,"Female","-8","BA","Never married","Midwest","-8","forty","999999","Fair","Former","4","1.76","Web"
20153,2025,80,"male","Other","Less than HS","Never married","West","employed full time","20","143000","Good","Never","5","1.50","In person"
20154,2025,48,"Female","white","Graduate","Never married","West","Student","30","155000","Poor","Current","-9","0.61","In person"
20155,2025,46,"Female","White","High school","Married","Midwest","Not in labor force","-8","35000","Good","Never","Not asked","2.14","Phone"
20156,2025,80,"Female","White","High school","Married","Northeast","Retired","45","150000","Good","Current","1","2.49","Web"
20157,2025,29,"MALE","Black","Less than HS","Never married","West","Employed full time","34","151000","Fair","Former","5","2.74","Web"
20158,2025,55,"Male","Asian","Some college","Separated","Midwest","employed full time","20","78000","Good","Former","7","0.72","-8"
20159,2025,44,"-9","White","BA","Never married","-9","Employed full time","8","46000","Good","Former","eight","2.34","Mail"
20160,2025,86,"Nonbinary","Multiracial","Some college","Divorced","Midwest","Employed full time","1","$ 92,000","Good","Former","0","2.57","web"
20161,2025,55,"Female","Asian","-8","Never married","West","Employed part time","8","","Excellent","Current","5","2.26","Phone"
20162,2025,75,"female","Black","High school","Divorced","Midwest","employed full time","46","$105,000","Good","Never","5","2.05","Web"
20163,2025,70,"female","White","Less than HS","Never married","South","-9","45","61000","Good","Former","Not asked","","Mail"
20164,2025,87,"Nonbinary","Multiracial","BA","Living with partner","Northeast","Employed full time","-9","71000","Good","Never","7","1.92","Mail"
20165,2025,86,"Female","White","Some college","Married"," SOUTH ","Employed full time","57","133000","Good","Never","1","1.23","Phone"
20166,2025,73,"Female","white","Some college","Married","South","Student","34","79000","Very good","Never","Not asked","0.97","In person"
20167,2025,23,"Female","Latina/o/x","Graduate","Never married","Mountain West","Unemployed","19","71000","Excellent","Never","7","0.70","web"
20168,2025,89,"Nonbinary","Latina/o/x","Graduate","","Midwest","Employed full time","26","$ 19,000","Excellent","","4","0.92","Web"
20169,2025,79,"-9","White","Less than HS","Married","Northeast","Not in labor force","5","85000","Very good","Former","eight","1.09","In person"
20170,2025,55,"Male","Latina/o/x","BA","Never married","Midwest","Student","52","126000","Very good","Former","7","1.78","PHONE"
20171,2025,18,"Female","white","ba","Never married","West","Unemployed","N/A","164000","Very good","Current","7","1.15","Web"
20172,2025,52,"Female","White","Some college","Divorced","Mountain West","Not in labor force","24","108000","Good","Current","4","0.60","web"
20173,2025,31,"Female","Latina/o/x","Some college","Married","South","Employed part time","14","114000","Fair","Never","5","2.41","Web"
20174,2025,24,"Male","Black","BA","Divorced","South","Employed full time","44","-8","Very good","Never","5","0.85","Web"
20175,2025,84,"Female","-8","BA","Never married","South","Not in labor force","18","183000","Very good","Former","eight","0.71","Web"
20176,2025,56,"Female","-8","Some college","Never married","South","Student","45","35000","Very good","Never","6","1.43","In person"
20177,2025,30,"Male","White","High school","Never married","Northeast","Student","34","103000","Good","Never","2","1.15","Web"
20178,2025,66,"Male","White","Graduate","Married","Northeast","Employed full time","60","156000","Poor","Former","4","2.45","web"
20179,2025,64,"Male","Other","Some college","Married","Midwest","Retired","12","175000","Very good","Former","3","1.46","Web"
20180,2025,58,"Male","White","99","Never married","west","Not in labor force","-8","119000","Very good","Former","7","0.64","Phone"
