"respondent_id","gender","region","health_2022","health_2023","health_2024","activity_days_2022","activity_days_2023","activity_days_2024","hours_worked_2022","hours_worked_2023","hours_worked_2024"
10070,"Female","Northeast",4,2,2,0,1,7,13,54,32
10071,"Male","-9",5,5,1,0,2,1,46,24,21
10072,"Female","-9",2,2,2,2,0,3,22,41,9
10073,"Female","Northeast",4,2,4,3,3,-9,37,37,51
10074,"Male","Northeast",4,3,4,-9,1,2,18,3,53
10075,"Nonbinary","West",1,4,-9,5,-9,6,0,13,3
10076,"Male","South",5,3,4,5,-9,5,36,11,13
10077,"Female","Northeast",-9,1,4,7,4,3,13,55,40
10078,"female","Mountain West",-9,2,2,5,5,7,53,37,46
10079,"Nonbinary"," SOUTH ",3,5,5,7,2,3,57,24,21
10080,"Male","South",1,1,2,3,0,5,7,44,43
10081,"FEMALE","Northeast",1,5,5,1,3,2,4,43,22
10082,"Male","South",4,4,5,4,3,7,60,11,-9
10083,"Female","Midwest",-9,5,1,3,6,-9,56,3,11
10084,"Male","Mountain West",2,5,4,2,0,4,6,5,3
10085,"Female","West",1,2,4,-9,0,2,26,4,44
10086,"Nonbinary","South",3,-9,3,0,6,2,0,27,44
10087,"FEMALE","West",5,5,5,-9,2,-9,2,45,-9
10088,"MALE","West",4,2,5,0,-9,3,-8,48,10
10089,"Nonbinary","Northeast",5,3,4,-9,7,1,55,1,28
10090,"male","Northeast",1,4,2,1,0,6,48,16,6
10091,"Prefer not to answer","West",5,2,4,0,4,7,22,55,26
10092,"Female","-9",5,5,1,3,0,7,21,34,60
10093,"Male","South",4,3,4,4,5,3,3,51,37
10094,"FEMALE","west",1,4,5,7,5,2,7,4,55
10095,"Nonbinary","Northeast",3,5,5,6,1,3,43,0,23
10096,"Male","West",3,-9,3,5,4,5,59,14,39
10097,"Male","West",5,1,3,1,-9,3,49,10,48
10098,"Male","South",1,5,1,5,2,3,48,57,49
10099,"Male","West",4,5,3,5,3,4,59,6,46
10100,"MALE","West",3,1,1,-9,6,2,36,6,32
10101,"Female","Northeast",2,3,2,3,4,3,21,55,39
10102,"Male","West",2,3,-9,2,-9,4,39,35,41
10103,"Male"," SOUTH ",4,5,5,1,1,0,33,15,24
10104,"female","West",1,3,5,1,0,4,52,9,-9
10105,"male","South",2,4,3,1,6,3,17,4,32
10106,"Male","South",1,5,1,2,4,7,19,42,6
10107,"Male","Midwest",2,2,5,3,6,6,28,4,29
10108,"Male","West",4,5,4,7,4,1,50,46,50
10109,"-9","West",5,-9,1,1,2,6,49,46,50
10110,"female","Mountain West",3,1,1,7,5,-9,41,43,14
10111,"Female","West",4,1,5,2,2,2,51,12,33
10112,"female","West",2,5,-9,7,4,4,34,27,18
10113,"MALE","Midwest",2,2,4,6,1,-9,5,25,38
10114,"Male","West",5,3,2,3,0,6,13,8,49
10115,"Male","Northeast",1,5,3,4,5,3,56,25,60
10116,"Male","Northeast",4,3,4,6,5,0,52,11,42
10117,"Male","West",5,5,3,3,1,5,25,25,33
10118,"Female","Midwest",4,2,5,-9,2,4,17,2,9
10119,"Female","Northeast",1,2,5,0,1,0,13,37,17
10120,"female","Northeast",3,4,4,2,-9,5,8,18,36
10121,"male","South",1,1,5,4,6,2,7,22,0
